Concurso,Data,bola 1,bola 2,bola 3,bola 4,bola 5,bola 6,Acertou
2690,20/02/2024,43,45,9,28,55,33,1
2689,17/02/2024,16,48,52,47,9,20,1
2688,15/02/2024,12,33,41,46,17,54,1
2687,10/2/2024,2,30,34,4,24,50,1
2686,8/2/2024,6,41,12,43,20,59,1
2685,6/2/2024,51,46,9,31,47,16,1
2684,3/2/2024,26,45,53,48,46,17,1
2683,1/2/2024,3,57,27,1,47,23,1
2682,30/01/2024,29,4,17,58,30,52,1
2681,27/01/2024,47,20,30,42,53,10,1
2680,25/01/2024,45,57,3,11,42,46,1
2679,23/01/2024,26,7,38,51,18,20,1
2678,20/01/2024,16,54,13,37,10,18,1
2677,18/01/2024,3,54,7,34,42,32,1
2676,16/01/2024,14,4,19,29,22,6,1
2675,13/01/2024,34,45,31,26,42,1,1
2674,11/1/2024,46,23,15,21,14,8,1
2673,9/1/2024,35,45,52,4,27,56,1
2672,6/1/2024,40,10,13,20,56,43,1
2671,4/1/2024,53,43,19,16,58,57,1
2670,31/12/2023,24,56,33,48,21,41,1
2669,16/12/2023,7,4,35,16,46,54,1
2668,14/12/2023,46,30,41,27,1,57,1
2667,12/12/2023,4,46,21,51,8,1,1
2666,9/12/2023,29,5,43,47,30,25,1
2665,7/12/2023,3,39,21,22,14,37,1
2664,5/12/2023,15,40,17,12,52,30,1
2663,2/12/2023,27,7,56,11,41,59,1
2662,30/11/2023,31,20,42,40,17,34,1
2661,28/11/2023,35,38,30,41,56,6,1
2660,25/11/2023,13,38,60,6,12,20,1
2659,23/11/2023,36,55,60,53,11,46,1
2658,21/11/2023,60,51,13,5,39,58,1
2657,18/11/2023,7,53,33,36,32,27,1
2656,14/11/2023,57,27,46,20,24,58,1
2655,11/11/2023,30,31,49,23,56,10,1
2654,9/11/2023,23,17,47,51,36,11,1
2653,7/11/2023,43,48,60,14,41,32,1
2652,4/11/2023,59,45,23,13,29,26,1
2651,1/11/2023,23,59,36,6,35,37,1
2650,28/10/2023,37,58,18,39,29,9,1
2649,26/10/2023,46,32,11,56,6,26,1
2648,24/10/2023,59,45,44,46,56,20,1
2647,21/10/2023,54,33,9,50,39,43,1
2646,19/10/2023,58,28,41,30,18,39,1
2645,17/10/2023,34,59,22,51,42,8,1
2644,14/10/2023,22,30,17,4,49,28,1
2643,10/10/2023,10,29,56,2,59,31,1
2642,7/10/2023,31,8,49,33,50,13,1
2641,5/10/2023,39,9,45,24,50,34,1
2640,3/10/2023,27,32,28,8,4,10,1
2639,30/09/2023,49,22,48,8,11,2,1
2638,28/09/2023,44,55,54,30,34,9,1
2637,26/09/2023,32,34,10,1,59,2,1
2636,23/09/2023,43,16,5,38,42,48,1
2635,21/09/2023,37,29,6,58,56,11,1
2634,19/09/2023,56,8,28,48,32,27,1
2633,16/09/2023,33,45,2,54,25,23,1
2632,14/09/2023,10,57,5,56,38,27,1
2631,12/9/2023,50,53,14,36,26,39,1
2630,9/9/2023,14,18,38,31,26,22,1
2629,5/9/2023,48,40,35,41,11,32,1
2628,2/9/2023,54,32,5,53,40,14,1
2627,31/08/2023,57,31,58,43,13,25,1
2626,29/08/2023,16,13,9,1,59,52,1
2625,26/08/2023,10,35,9,55,58,44,1
2624,24/08/2023,31,58,5,52,37,47,1
2623,22/08/2023,59,35,10,15,20,37,1
2622,19/08/2023,24,22,50,19,60,9,1
2621,16/08/2023,14,47,9,16,42,6,1
2620,12/8/2023,26,21,13,4,6,28,1
2619,9/8/2023,41,5,50,39,44,36,1
2618,5/8/2023,45,17,29,35,48,6,1
2617,2/8/2023,44,42,36,3,14,43,1
2616,29/07/2023,49,38,6,23,35,16,1
2615,27/07/2023,41,23,59,22,7,5,1
2614,25/07/2023,3,25,19,14,13,8,1
2613,22/07/2023,46,40,26,14,42,52,1
2612,19/07/2023,44,50,34,27,54,20,1
2611,15/07/2023,25,18,4,49,21,12,1
2610,12/7/2023,53,55,10,23,34,57,1
2609,8/7/2023,21,35,27,60,3,32,1
2608,5/7/2023,7,13,29,17,52,24,1
2607,1/7/2023,57,25,11,60,7,51,1
2606,29/06/2023,32,45,49,16,10,2,1
2605,27/06/2023,5,54,35,46,11,26,1
2604,24/06/2023,19,16,17,22,46,57,1
2603,21/06/2023,3,56,29,13,52,7,1
2602,17/06/2023,32,30,46,11,16,14,1
2601,14/06/2023,40,8,34,3,44,55,1
2600,10/6/2023,46,4,37,38,60,18,1
2599,7/6/2023,43,28,34,23,60,47,1
2598,3/6/2023,7,53,14,58,60,24,1
2597,31/05/2023,58,56,54,26,14,34,1
2596,27/05/2023,35,47,56,39,51,34,1
2595,24/05/2023,52,13,1,39,50,34,1
2594,20/05/2023,7,55,32,26,49,35,1
2593,17/05/2023,14,17,10,32,25,39,1
2592,13/05/2023,51,35,34,28,15,17,1
2591,11/5/2023,30,28,23,11,21,10,1
2590,9/5/2023,43,36,2,48,28,12,1
2589,6/5/2023,36,1,16,32,15,25,1
2588,3/5/2023,31,22,9,13,57,58,1
2587,29/04/2023,5,22,11,37,10,23,1
2586,26/04/2023,18,49,41,10,59,53,1
2585,22/04/2023,26,43,59,36,34,14,1
2584,19/04/2023,53,12,36,55,5,1,1
2583,15/04/2023,27,59,2,30,20,52,1
2582,12/4/2023,34,10,21,19,14,17,1
2581,8/4/2023,17,14,39,60,32,36,1
2580,5/4/2023,43,36,3,29,13,4,1
2579,1/4/2023,10,26,44,5,35,38,1
2578,29/03/2023,47,59,60,37,50,39,1
2577,25/03/2023,31,44,22,12,50,18,1
2576,22/03/2023,32,29,43,35,38,33,1
2575,18/03/2023,46,4,53,14,12,41,1
2574,16/03/2023,12,43,48,60,44,17,1
2573,14/03/2023,37,6,49,26,32,35,1
2572,11/3/2023,24,22,3,15,7,50,1
2571,8/3/2023,18,51,38,33,9,41,1
2570,4/3/2023,18,26,27,47,50,8,1
2569,1/3/2023,6,7,28,31,25,52,1
2568,25/02/2023,22,29,49,35,16,38,1
2567,23/02/2023,33,10,60,58,11,19,1
